ID,Name,KG,For Sale,Sale Price,EGG/Day,Rarity,# Traits,Rarest Trait,Head,Neck,Torso,Feet,Tail,Body,Trim,Background,Lore,Flavour,Rank,Score,Floor Price,Last Price,Roosted
1,,30,False,0,8.25,nice,5,rare,uniquehorn,black bandana,,red vans,,mutant purple,,vermillion,,,4992,146.62,95,0,True
2,,49,False,0,13,common,6,rare,,purple bowtie,peacemaker,green kicks,red plumage,rustic brown,,vermillion,,,6576,125.89,93,0,True
3,,13,False,0,4,rare,6,rare,nerdlinger,,captain chimerica,,golden egg,mutant purple,space trim,cornhusk,,,1452,225.45,138,0,True
4,z,46,False,0,12.25,rare,7,rare,cool dude 69,purple bowtie,midas muscles,blue kicks,,frognation green,black trim,royale,,,1194,239.44,138,150,True
5,,16,True,420,4.75,legendary,5,legendary,boxhead,,fresh fish,,big mama fat pipes,gameboy,,tangerine,,,155,391.64,300,0,True
6,Bitcoin,31,True,249,8.5,common,5,Common,savage beast,purple bowtie,,blue feet,,mutant purple,,vermillion,,,9363,87.84,93,17.5,True
7,Napoleon,48,False,0,12.75,nice,7,nice,admiral,purple bowtie,hentai,purple feet,red plumage,nightstalker blue,,cornhusk,,,3463,169.96,95,0,True
8,,50,False,0,13.25,common,5,nice,,chicken choker,human growth hormones,blue feet,,passion red,,turquoisey,,,8813,97.69,93,0,True
9,,47,False,0,12.5,common,5,legendary,purple sweatband,,,green feet,big mama fat pipes,frognation green,,plum,,,5360,141.79,93,0,True
10,,35,False,0,9.5,nice,3,elite,,,,,,gameboy,cloud trim,solana,,,4983,146.77,95,0,True
11,,44,False,0,11.75,common,5,rare,sucker,,mighty broadsword,,orange plumage,rustic brown,,venus,,,6360,128.4,93,3.88,True
12,,35,False,0,9.5,common,5,nice,cool dude 69,,blue bag,,led,rustic brown,,solana,,,7356,116.47,93,40,True
13,,44,False,0,11.75,common,6,rare,uniquehorn,hairy old man,,purple feet,orange plumage,frognation green,,tangerine,,,6160,131.25,93,4,True
14,,41,False,0,11,nice,5,rare,moustache,red bowtie,,red feet,,bullion,,nugget,,,4220,157.8,95,0,True
15,,39,False,0,10.5,common,3,nice,,,,,red plumage,passion red,,vermillion,,,9721,78.62,93,62.5,True
16,,19,False,0,5.5,common,5,nice,,,cutlass,blue feet,led,nightstalker blue,,cornhusk,,,9531,84.04,93,0,True
17,,45,False,0,12,rare,5,rare,goose,blue bandana,,purple feet,,bullion,,vermillion,,,1381,229.36,138,0,True
18,,35,False,0,9.5,common,5,rare,deal with it,,peacemaker,,gas guzzler,passion red,,vermillion,,,7936,109.34,93,100,True
19,8-bit Gold,45,False,0,12,nice,5,rare,all seeing eye,,,purple feet,golden egg,pixel-chan,,turquoisey,8-bit is here for two things: laying golden eggs and chewing bubblegum… and she’s all out of bubblegum. ,"“Stay gold, CHIKN-boi”",2161,199.28,95,0,True
20,,36,False,0,9.75,nice,5,rare,hothead,,cutlass,,very fresh egg,rustic brown,,cornhusk,,,4264,157.28,95,17.99,True
21,,25,False,0,7,common,3,Common,,,,blue feet,,nightstalker blue,,cornhusk,,,9881,70.52,93,0,True
22,,18,False,0,5.25,common,4,nice,,,summer days,,red plumage,mutant purple,,cornhusk,,,9918,67.5,93,0,True
23,,18,False,0,5.25,common,5,nice,,avax bling,,purple feet,nyan,rustic brown,,venus,,,8451,102.98,93,34,True
24,,29,True,200,8,common,5,rare,gentleman's pipe,,peacemaker,,,pixel-chan,black trim,vermillion,,,5643,137.82,93,0,True
25,,41,False,0,11,common,5,rare,savage beast,chicken choker,,,very fresh egg,rustic brown,,vibe,,,6969,121.25,93,0,True
26,,35,False,0,9.5,common,6,rare,gentleman's pipe,chains for days,,red feet,orange plumage,passion red,,cornhusk,,,5810,135.67,93,29,True
27,,30,False,0,8.25,common,5,nice,,,mighty broadsword,green feet,,rustic brown,avax trim,royale,,,8611,100.41,93,23,True
