ID,Name,Rarity,Rarest Tile,For Sale,Sale Price,Last Price,Bigness,Size,Fertility,Multiplier,Score,Avg/Tile,Dark Matter,Avaxium,Gold,Mana,Tungsten,Mech,Liquidium,Veg,Lumber,Stone,pyramid_Annuit,pyramid_Avax,BoneDaddy,Goldmine,ChiknMountain,Excalibur,Meteor,Tungsten,Ruin,Red_Windmill,Golf,Graveyard,HelicopterPad,Mountain_Crystal,BigHole,Old_Windmill,Water,SmallFarm_Wheat_Fence,Mountain,Pond_Circle,Pond_Corner,Corn,SmallFarm_Corn,SmallFarm_Corn_Fence,SmallFarm_Cabbage,SmallFarm_Cabbage_Fence,SmallFarm_Empty,Grass_Mushrooms,SmallFarm_Wheat,Wheat,Woods,Roqs,CoqRoqs,Tasty Feed,Orchard,Hills,Meadow,Grass_Trees,Grass_Full,Grass_Thin
1,,,Nice,False,0,0,vast,36,0,4,128.3,16.0375,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2
2,,,Elite,False,0,0,humble,2,0,4,172.41,172.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,Nice,False,0,0,big,19,1329.0371662925927,4,81.86,20.465,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
4,,,Nice,False,0,0,big,25,0,4,125.59,20.93166666666667,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
5,,,Nice,False,0,0,humble,5,0,4,54.97,27.485,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,,,Nice,False,0,0,big,35,1648.2885727777777,4.25,174.20999999999998,21.776249999999997,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,1,1
7,Little Big Farm,,Rare,False,0,0,big,20,0,4,138.54,27.708,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
8,,,Nice,False,0,0,humble,12,0,4,64.31,21.436666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,BWhale,Lush,Legendary,False,0,0,infinite,122,643732.3698462202,13.5,1043.73,43.48875,0,0,0,1,1,0,1,7,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,1,2,0,1,3,4,1,1,1
10,,,Rare,False,0,0,big,20,989.2940972222221,4,244.20000000000005,48.84000000000001,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
