ID,Name,KG,For Sale,Sale Price,Fert/Day,Rarity,# Traits,Rarest Trait,Head,Neck,Torso,Feet,Tail,Body,Trim,Background,Lore,Flavour,Rank,Score,Floor Price,Last Price,Roosted
1,,10,True,6500,24,unique,8,unique,?,?,?,?,?,?,?,?,,,1,96000,6500,0,True
2,,41,False,0,86,unique,8,unique,?,?,?,?,?,?,?,?,,,1,96000,6500,555,True
3,,13,False,0,30,unique,8,unique,?,?,?,?,?,?,?,?,,,1,96000,6500,1000,True
4,,7,False,0,18,legendary,7,legendary,Green Party Hat,Floatie Boi,Gainz,Golden Greaves,,Snow White,Space Trim,Turquoisey,,,13,1048.07,130,0,True
5,,45,True,5000,94,legendary,8,legendary,Beaker,a little rag,Gameboi,Green Feet,Peacoq,Snow White,Space Trim,Turquoisey,,,14,1033.34,130,0,True
6,,8,True,4000,20,legendary,8,legendary,Bucket,Bandolier,Snip Snips,Red Feet,Smokestack,Bullion,Space Trim,Plum,,,16,971.58,130,0,True
7,,8,True,370,20,legendary,8,legendary,Grandpa,Red Bowtie,Dad Shirt,Golden Greaves,WhaleGod,Snow White,Vulcan Trim,Turquoisey,,,21,854.14,130,0,True
8,,63,False,0,130,legendary,7,legendary,Beaker,Joseph Drip,Dad Shirt,Spurs,Sword Tail,Snow White,,Galactic Glitch,,,22,841.92,130,0,True
9,,70,False,0,144,legendary,8,legendary,Green Party Hat,Clockchain,Big Stick,Golden Greaves,Big Mama Fat Pipes,Nightstalker Blue,Black Trim,Galactic,,,23,839.31,130,0,True
10,,37,False,0,78,legendary,7,elite,Feed Bag,Bandolier,Red T-Shirt,Spurs,,Passion Red,Vulcan Trim,Galactic Glitch,,,27,796.7,130,0,True
11,,101,False,0,206,legendary,7,legendary,Conspiracy Theorist,Stop Loss,CD-RW,Rugged,,Snow White,Space Trim,Periwinkle,,,31,746.42,130,0,True
12,,5,True,225,14,legendary,6,legendary,CRT,Lei,Boombox,,Concorde,Mutant Purple,,Periwinkle,,,34,733.21,130,0,True
13,,25,False,0,54,legendary,8,legendary,Smol Brain In Jar,Bitcoin Maxi,9-iron,Golden Feet,Royal Flush,Snow White,Black Trim,Cornhusk,,,35,729.37,130,0,True
14,Hipster PeaCoq,44,False,0,92,legendary,7,legendary,Hipster,Coq Maxi,McFly,Red Feet,Peacoq,Snow White,,Solana,,,37,718.55,130,0,True
15,,1,False,0,1,legendary,8,legendary,Winterproof,Coq Maxi,Toot-Toot,Rugged,Off Grid,Nightstalker Blue,Blue Trim,Plum,,,39,712.72,130,0,True
16,,2,False,0,8,legendary,7,legendary,Panic Buy,Avax Degen,9-iron,Buckaroo,,Mutant Purple,Black Trim,Drummies,,,40,712.12,130,0,True
17,,17,True,77777,38,legendary,7,legendary,Chef,Purple Bowtie,Golden Breastplate,Golden Feet,,Bullion,Space Trim,Periwinkle,,,42,711.67,130,0,True
18,,31,False,0,66,legendary,7,legendary,Conspiracy Theorist,Floatie Boi,Love Balloon,Golden Feet,,Frog Green,Blue Trim,Periwinkle,,,46,693.89,130,0,True
19,,45,True,288.88,94,legendary,7,legendary,Winterproof,Coq Maxi,Banjo,Green Feet,Hydra,Snow White,,Royale,,,47,690.02,130,40,True
20,,24,False,0,52,legendary,8,legendary,Sunnies,Chick Magnet,Rubber chikn,Blue Timbs,Concorde,Frog Green,Blue Trim,Solana,,,53,682.92,130,35,True
21,,33,False,0,70,legendary,7,legendary,Robocoq,Coq Maxi,Love Balloon,Golden Feet,Smokestack,Mutant Purple,,Plum,,,57,673.85,130,0,True
22,,22,False,0,48,legendary,5,legendary,Golden Templar,Floatie Boi,,Golden Feet,,Snow White,,Galactic,,,59,669.54,130,0,True
23,,19,False,0,42,legendary,6,legendary,Panic Buy,Shoulder Armour,Grande LeCoq,,Smokestack,Frog Green,,Vulcan,,,60,669.45,130,0,True
24,,1,True,1000,1,legendary,6,legendary,Hole in One,Coq Tags,,Golden Feet,Prawn Coqtail,Frog Green,,Periwinkle,,,62,666.38,130,0,True
25,,21,False,0,46,legendary,8,elite,Green Comb,Lei,Human Growth Hormones,Buckaroo,Prawn Coqtail,Mutant Purple,Avax Trim,Vermillion,,,65,662.86,130,0,True
26,,14,False,0,32,legendary,7,legendary,Gas Mask,Sash,Dad Shirt,Ball'n Chain,WhaleGod,Frog Green,,Turquoisey,,,66,661.3,130,50,True
27,,22,False,0,48,legendary,8,legendary,Boxhead,Lei,GoldFish,Spurs,chikn Jockey,Snow White,Avax Trim,Plum,,,67,660.16,130,0,True
28,,43,False,0,90,legendary,7,legendary,Smol Brain In Jar,Red Bowtie,Omelette,Golden Feet,Peacoq,Snow White,,Periwinkle,,,68,658.66,130,0,True
29,,54,False,0,112,legendary,7,legendary,Green Party Hat,Chick Magnet,McFly,Iron Claw,,Snow White,Atlantis Trim,Vibe,,,71,655.77,130,0,True
30,,24,False,0,52,legendary,6,legendary,Laser Eye,Floatie Boi,Dad Shirt,Red Stilettos,,Snow White,,Tangerine,,,72,654.88,130,0,True
31,Dr. BlackCoq,43,False,0,90,legendary,6,legendary,Hole in One,,Doctor Coq,Sneaker Head,,Obsidian,Blue Trim,Plum,,,75,651.57,130,0,True
32,Crabby McBurgerTits,43,False,0,90,legendary,6,legendary,Quarter Pounder,Coq Tags,Snib Snibs,Croqs,,Snow White,,Miami,,,80,644.85,130,0,True
33,Ab Normal,36,False,0,76,legendary,6,legendary,Smol Brain In Jar,Coq Maxi,Starfish,Celestial Feet,,Nightstalker Blue,,Drummies,,,82,641.3,130,90,True
34,,43,False,0,90,legendary,6,legendary,Coqpit Commander,,Kevlar,All Stars,,Snow White,Atlantis Trim,Field Glitch,,,87,636.43,130,0,True
35,Larry,29,False,0,62,legendary,8,elite,Coachella,Bitcoin Maxi,Black T-Shirt,Ball'n Chain,Gas Guzzler,Bullion,Vulcan Trim,Periwinkle,,,89,631.63,130,95,True
36,,63,False,0,130,legendary,7,elite,Mullet,Shoulder Armour,Play Boy,Iron Claw,Hydra,Passion Red,,Turquoisey,,,95,626.15,130,0,True
37,,7,False,0,18,legendary,7,legendary,Boxhead,Joseph Drip,Big Stick,All Stars,Foliage,Nightstalker Blue,,Solana,,,97,621.33,130,0,True
38,,56,False,0,116,legendary,5,legendary,Smol Brain In Jar,,,Croqs,Hydra,Snow White,,Turquoisey,,,98,619.88,130,0,True
39,,28,True,288,60,legendary,7,legendary,Samurai,Avax Degen,Toot-Toot,All Stars,Big Mama Fat Pipes,Nightstalker Blue,,Vibe,,,99,617.96,130,0,True
40,Buckethead,70,True,813,144,legendary,5,legendary,Bucket,,Snib Snibs,Iron Claw,,Nightstalker Blue,,Periwinkle,,,101,612.07,130,0,True
41,,27,False,0,58,legendary,4,legendary,CRT,,,,Concorde,Mutant Purple,,Periwinkle,,,105,607.02,130,98,True
42,,16,False,0,36,legendary,5,legendary,SuperVillain,Floatie Boi,Black T-Shirt,,,Nightstalker Blue,,Field,,,107,604.97,130,0,True
43,Leggend,36,True,500,76,legendary,5,legendary,Green Comb,,Golden Breastplate,,,Nightstalker Blue,Space Trim,Plum,,,109,603.91,130,0,True
44,,26,False,0,56,legendary,6,elite,Plague Doctor,,Gameboi,,Big Mama Fat Pipes,Passion Red,Blue Trim,Venus,,,110,601.42,130,34,True
45,,36,False,0,76,legendary,7,legendary,Woody,Lei,Fancy Sword,Golden Greaves,Concorde,Nightstalker Blue,,Periwinkle,,,114,599.07,130,0,True
46,,5,True,190,14,legendary,6,legendary,Quarter Pounder,Avax Degen,Big Stick,Red Feet,,Mutant Purple,,Plum,,,117,597.91,130,0,True
47,,16,True,218,36,legendary,8,elite,Feed Bag,Red Bowtie,Rubber chikn,Red Stilettos,Smokestack,Mutant Purple,Black Trim,Farm,,,118,597.83,130,100,True
48,,6,False,0,16,legendary,7,legendary,Beanie,Stop Loss,Fresh Fish,Blue Timbs,Sword Tail,Obsidian,,Field Glitch,,,119,597.76,130,100,True
49,,24,False,0,52,legendary,7,legendary,Inherited Royalty,a little rag,Sword,Croqs,Scorpion King,Celestial,,Tangerine,,,127,592.29,130,200,True
50,,1,True,150,1,legendary,8,legendary,Grandpa,Gwei Guzzler,Banger,Green Feet,Sword Tail,Celestial,Black Trim,Plum,,,133,587.98,130,0,True
51,,2,False,0,8,legendary,8,elite,Sombrero,a little rag,Shield,Iron Claw,Foliage,Passion Red,Vulcan Trim,Periwinkle,,,136,586.37,130,0,True
52,,27,False,0,58,legendary,7,legendary,Grandpa,Chick Magnet,Not Football,Buckaroo,Concorde,Frog Green,,Tangerine,,,137,586.08,130,0,True
53,,24,False,0,52,legendary,5,legendary,,Floatie Boi,Shovel,,,Snow White,Vulcan Trim,Field,,,139,584.89,130,29,True
54,,75,False,0,154,legendary,6,legendary,Gas Mask,,Banjo,Croqs,Scorpion King,Snow White,,Drummies,,,141,583.5,130,0,True
55,,26,False,0,56,legendary,7,elite,Dirty Bird,Sash,Human Growth Hormones,Celestial Feet,Hydra,Passion Red,,Turquoisey,,,142,583.25,130,0,True
56,,27,False,0,58,legendary,6,legendary,Golden Comb,,Fancy Sword,Croqs,Concorde,Mutant Purple,,Vaporwave,,,144,582.68,130,45,True
57,,38,True,260,80,legendary,8,legendary,Laser Eye,Coq Tags,Midas Muscles,All Stars,Smokestack,Snow White,Avax Trim,Vulcan,,,145,582.4,130,0,True
58,,13,False,0,30,legendary,8,elite,Dirty Bird,Red Bowtie,CD-RW,Croqs,Hydra,Obsidian,Avax Trim,Plum,,,146,582.33,130,0,True
59,Cancer Sun,24,False,0,52,legendary,6,legendary,Purple Comb,Bandolier,Snib Snibs,Golden Feet,,Snow White,,Vaporwave Glitch,,,148,581.69,130,99.99,True
60,,22,True,200,48,legendary,7,legendary,Chef,Coq Maxi,Not Football,All Stars,Big Mama Fat Pipes,Nightstalker Blue,,Cornhusk,,,151,581.18,130,0,True
61,George,105,True,777,214,legendary,6,legendary,Gas Mask,Sash,Snib Snibs,Golden Greaves,,Nightstalker Blue,,Solana,,,156,579.13,130,0,True
62,,38,False,0,80,legendary,4,legendary,Hole in One,,Katana,,,Midnight,,Vaporwave Glitch,,,161,577.56,130,0,True
63,,16,False,0,36,legendary,7,legendary,Panic Buy,Prized Coq,Breastplate,Red Stilettos,,Midnight,Black Trim,Turquoisey,,,165,576.61,130,0,True
64,,24,True,200,52,legendary,7,elite,Green Comb,Purple Bowtie,Black T-Shirt,Ball'n Chain,Prawn Coqtail,Midnight,,Vibe,,,167,575.32,130,35,True
65,,29,False,0,62,legendary,7,legendary,Coqpit Commander,Chick Magnet,Midas Muscles,Celestial Feet,Royal Flush,Mutant Purple,,Tangerine,,,170,572.5,130,0,True
66,,34,False,0,72,legendary,5,legendary,Bucket,Shoulder Armour,Tweed,,,Nightstalker Blue,,Vulcan,,,172,571.86,130,0,True
67,,26,False,0,56,legendary,7,legendary,Gentlechikn,Sash,Snib Snibs,Golden Greaves,chikn Jockey,Midnight,,Solana,,,175,570.66,130,35,True
68,,36,False,0,76,legendary,7,elite,Rosebud,Stop Loss,Rubber chikn,Greaves,Prawn Coqtail,Mutant Purple,,Plum,,,178,569.44,130,0,True
69,,38,False,0,80,legendary,6,legendary,Winterproof,Golden Pauldrons,Doctor Coq,Golden Greaves,,Obsidian,,Field,,,180,568.03,130,35.6,True
70,,23,False,0,50,legendary,6,legendary,Robocoq,Red Bowtie,Dad Shirt,Celestial Feet,,Nightstalker Blue,,Plum,,,181,567.77,130,60,True
71,,1,False,0,1,legendary,7,elite,Sombrero,Lei,Kevlar,Sneaker Head,Sword Tail,Nightstalker Blue,,Drummies,,,183,566.65,130,0,True
72,,21,False,0,46,legendary,7,legendary,Coqpit Commander,Purple Bowtie,Lord Quas,Golden Feet,Concorde,Nightstalker Blue,,Drummies,,,185,565.76,130,75,True
73,,1,False,0,1,legendary,5,legendary,,Coq Maxi,Omelette,,Sword Tail,Celestial,,Farm,,,186,565.39,130,0,False
74,,14,True,135,32,legendary,8,elite,Sesh Hat,Stethoscope,Spelunker,Greaves,Foliage,Mutant Purple,Vulcan Trim,Turquoisey,,,191,561.91,130,99,True
75,,25,False,0,54,legendary,8,legendary,Chrome Dome,Sash,Doctor Coq,Red Stilettos,Smokestack,Nightstalker Blue,Black Trim,Cornhusk,,,192,560.43,130,0,True
